subset,edge_threshold,odds_cap,bets,wins,win_rate,profit_units,roi,avg_edge,avg_edge_raw,avg_model_prob_raw,avg_model_prob_adj,avg_implied_prob,avg_odds,avg_books_used
all,0.03,150,211,139.0,0.6587677725118484,14.673655944098867,0.06954339309999463,0.06441387549849531,0.10735645916415888,0.7253548320434036,0.68241224837774,0.6179983728792446,-145.81516587677726,10.436018957345972
favorites_only,0.03,150,182,125.0,0.6868131868131868,13.86365594409887,0.07617393375878499,0.06185946004078139,0.10309910006796905,0.7448962294781492,0.7036565894509614,0.6417971294101802,-187.20054945054946,10.428571428571429
underdogs_only,0.03,150,29,14.0,0.4827586206896552,0.81,0.02793103448275862,0.08044503457794121,0.13407505762990204,0.6027157171081029,0.549085694056142,0.4686406594782007,113.91379310344827,10.482758620689655
dogs_upto_150,0.03,150,29,14.0,0.4827586206896552,0.81,0.02793103448275862,0.08044503457794121,0.13407505762990204,0.6027157171081029,0.549085694056142,0.4686406594782007,113.91379310344827,10.482758620689655
dogs_150_to_175,0.03,150,0,0.0,,0.0,,,,,,,,
dogs_175_to_200,0.03,150,0,0.0,,0.0,,,,,,,,
all,0.03,175,216,141.0,0.6527777777777778,14.913655944098867,0.06904470344490216,0.06445372182748826,0.10742286971248048,0.7200121496185035,0.6770430017335114,0.612589279906023,-138.72685185185185,10.439814814814815
favorites_only,0.03,175,182,125.0,0.6868131868131868,13.86365594409887,0.07617393375878499,0.06185946004078139,0.10309910006796905,0.7448962294781492,0.7036565894509614,0.6417971294101802,-187.20054945054946,10.428571428571429
underdogs_only,0.03,175,34,16.0,0.47058823529411764,1.0499999999999996,0.030882352941176458,0.07834065256809554,0.13056775428015926,0.5868091338992235,0.5345820321871596,0.4562413796190641,120.75,10.5
dogs_upto_150,0.03,175,29,14.0,0.4827586206896552,0.81,0.02793103448275862,0.08044503457794121,0.13407505762990204,0.6027157171081029,0.549085694056142,0.4686406594782007,113.91379310344827,10.482758620689655
dogs_150_to_175,0.03,175,5,2.0,0.4,0.24,0.048,0.0661352369109908,0.11022539485165135,0.49455095128772275,0.4504607933470622,0.38432555643607136,160.4,10.6
dogs_175_to_200,0.03,175,0,0.0,,0.0,,,,,,,,
all,0.03,200,217,141.0,0.6497695852534562,13.913655944098869,0.06411823015713765,0.06441196290425283,0.10735327150708807,0.718742198399979,0.6758008897971437,0.6113889268928909,-137.23963133640552,10.43778801843318
favorites_only,0.03,200,182,125.0,0.6868131868131868,13.86365594409887,0.07617393375878499,0.06185946004078139,0.10309910006796905,0.7448962294781492,0.7036565894509614,0.6417971294101802,-187.20054945054946,10.428571428571429
underdogs_only,0.03,200,35,16.0,0.45714285714285713,0.05000000000000049,0.0014285714285714424,0.0776849777943042,0.129474962990507,0.5827412367934933,0.5309512515972904,0.4532662738029862,122.55714285714286,10.485714285714286
dogs_upto_150,0.03,200,29,14.0,0.4827586206896552,0.81,0.02793103448275862,0.08044503457794121,0.13407505762990204,0.6027157171081029,0.549085694056142,0.4686406594782007,113.91379310344827,10.482758620689655
dogs_150_to_175,0.03,200,5,2.0,0.4,0.24,0.048,0.0661352369109908,0.11022539485165135,0.49455095128772275,0.4504607933470622,0.38432555643607136,160.4,10.6
dogs_175_to_200,0.03,200,1,0.0,0.0,-1.0,-1.0,0.0553920354853977,0.0923200591423296,0.4444327351986676,0.4075047115417357,0.352112676056338,184.0,10.0
all,0.05,150,135,96.0,0.7111111111111111,21.745248388909957,0.1610759139919256,0.07791113595576589,0.12985189325960983,0.7405522700577194,0.6886115127538754,0.6107003767981096,-135.52962962962962,10.407407407407407
favorites_only,0.05,150,114,85.0,0.7456140350877193,19.25024838890996,0.16886182797289437,0.07470769741205983,0.12451282902009976,0.7617988534251828,0.7119937218171432,0.6372860244050832,-181.64912280701753,10.394736842105264
underdogs_only,0.05,150,21,11.0,0.5238095238095238,2.495,0.11880952380952381,0.09530123090731295,0.15883538484552165,0.625213674634346,0.5616795206961372,0.46637828978882423,114.83333333333333,10.476190476190476
dogs_upto_150,0.05,150,21,11.0,0.5238095238095238,2.495,0.11880952380952381,0.09530123090731295,0.15883538484552165,0.625213674634346,0.5616795206961372,0.46637828978882423,114.83333333333333,10.476190476190476
dogs_150_to_175,0.05,150,0,0.0,,0.0,,,,,,,,
dogs_175_to_200,0.05,150,0,0.0,,0.0,,,,,,,,
all,0.05,175,137,96.0,0.7007299270072993,19.74524838890996,0.14412590064897782,0.07834639065219143,0.13057731775365244,0.7379151432669941,0.6856842161655331,0.6073378255133416,-131.17153284671534,10.408759124087592
favorites_only,0.05,175,114,85.0,0.7456140350877193,19.25024838890996,0.16886182797289437,0.07470769741205983,0.12451282902009976,0.7617988534251828,0.7119937218171432,0.6372860244050832,-181.64912280701753,10.394736842105264
underdogs_only,0.05,175,23,11.0,0.4782608695652174,0.4949999999999999,0.02152173913043478,0.09638165279893066,0.1606360879982178,0.6195350146568407,0.5552805794575534,0.4588989266586228,119.02173913043478,10.478260869565217
dogs_upto_150,0.05,175,21,11.0,0.5238095238095238,2.495,0.11880952380952381,0.09530123090731295,0.15883538484552165,0.625213674634346,0.5616795206961372,0.46637828978882423,114.83333333333333,10.476190476190476
dogs_150_to_175,0.05,175,2,0.0,0.0,-2.0,-1.0,0.1077260826609166,0.1795434711015277,0.5599090848930353,0.48809169645242423,0.3803656137915076,163.0,10.5
dogs_175_to_200,0.05,175,0,0.0,,0.0,,,,,,,,
all,0.05,200,138,96.0,0.6956521739130435,18.745248388909957,0.1358351332529707,0.07818005474518569,0.1303000912419762,0.7357884591505569,0.6836684226537664,0.6054883679085807,-128.88768115942028,10.405797101449275
favorites_only,0.05,200,114,85.0,0.7456140350877193,19.25024838890996,0.16886182797289437,0.07470769741205983,0.12451282902009976,0.7617988534251828,0.7119937218171432,0.6372860244050832,-181.64912280701753,10.394736842105264
underdogs_only,0.05,200,24,11.0,0.4583333333333333,-0.5049999999999999,-0.021041666666666663,0.09467375207753344,0.15778958679588914,0.6122390863460834,0.5491232516277277,0.4544494995501942,121.72916666666667,10.458333333333334
dogs_upto_150,0.05,200,21,11.0,0.5238095238095238,2.495,0.11880952380952381,0.09530123090731295,0.15883538484552165,0.625213674634346,0.5616795206961372,0.46637828978882423,114.83333333333333,10.476190476190476
dogs_150_to_175,0.05,200,2,0.0,0.0,-2.0,-1.0,0.1077260826609166,0.1795434711015277,0.5599090848930353,0.48809169645242423,0.3803656137915076,163.0,10.5
dogs_175_to_200,0.05,200,1,0.0,0.0,-1.0,-1.0,0.0553920354853977,0.0923200591423296,0.4444327351986676,0.4075047115417357,0.352112676056338,184.0,10.0
all,0.08,150,54,34.0,0.6296296296296297,3.48151394255114,0.0644724804176137,0.0996189784700318,0.16603163078338642,0.7533142646500979,0.6869016123367433,0.5872826338667116,-105.86111111111111,10.481481481481481
favorites_only,0.08,150,42,29.0,0.6904761904761905,4.766513942551138,0.11348842720359853,0.0944418915213543,0.15740315253559056,0.779250101522559,0.7162888405083228,0.6218469489869685,-168.92857142857142,10.5
underdogs_only,0.08,150,12,5.0,0.4166666666666667,-1.2850000000000001,-0.10708333333333335,0.117738782790403,0.19623130465067173,0.6625388355964843,0.5840463137362156,0.4663075309458124,114.875,10.416666666666666
dogs_upto_150,0.08,150,12,5.0,0.4166666666666667,-1.2850000000000001,-0.10708333333333335,0.117738782790403,0.19623130465067173,0.6625388355964843,0.5840463137362156,0.4663075309458124,114.875,10.416666666666666
dogs_150_to_175,0.08,150,0,0.0,,0.0,,,,,,,,
dogs_175_to_200,0.08,150,0,0.0,,0.0,,,,,,,,
all,0.08,175,56,34.0,0.6071428571428571,1.4815139425511388,0.02645560611698462,0.09990851790542053,0.1665141965090343,0.7464069368016314,0.6798012581980178,0.5798927402925972,-96.25892857142857,10.482142857142858
favorites_only,0.08,175,42,29.0,0.6904761904761905,4.766513942551138,0.11348842720359853,0.0944418915213543,0.15740315253559056,0.779250101522559,0.7162888405083228,0.6218469489869685,-168.92857142857142,10.5
underdogs_only,0.08,175,14,5.0,0.35714285714285715,-3.285,-0.23464285714285715,0.11630839705761922,0.19384732842936542,0.6478774426388487,0.5703385112671024,0.45403011420948314,121.75,10.428571428571429
dogs_upto_150,0.08,175,12,5.0,0.4166666666666667,-1.2850000000000001,-0.10708333333333335,0.117738782790403,0.19623130465067173,0.6625388355964843,0.5840463137362156,0.4663075309458124,114.875,10.416666666666666
dogs_150_to_175,0.08,175,2,0.0,0.0,-2.0,-1.0,0.1077260826609166,0.1795434711015277,0.5599090848930353,0.48809169645242423,0.3803656137915076,163.0,10.5
dogs_175_to_200,0.08,175,0,0.0,,0.0,,,,,,,,
all,0.08,200,56,34.0,0.6071428571428571,1.4815139425511388,0.02645560611698462,0.09990851790542053,0.1665141965090343,0.7464069368016314,0.6798012581980178,0.5798927402925972,-96.25892857142857,10.482142857142858
favorites_only,0.08,200,42,29.0,0.6904761904761905,4.766513942551138,0.11348842720359853,0.0944418915213543,0.15740315253559056,0.779250101522559,0.7162888405083228,0.6218469489869685,-168.92857142857142,10.5
underdogs_only,0.08,200,14,5.0,0.35714285714285715,-3.285,-0.23464285714285715,0.11630839705761922,0.19384732842936542,0.6478774426388487,0.5703385112671024,0.45403011420948314,121.75,10.428571428571429
dogs_upto_150,0.08,200,12,5.0,0.4166666666666667,-1.2850000000000001,-0.10708333333333335,0.117738782790403,0.19623130465067173,0.6625388355964843,0.5840463137362156,0.4663075309458124,114.875,10.416666666666666
dogs_150_to_175,0.08,200,2,0.0,0.0,-2.0,-1.0,0.1077260826609166,0.1795434711015277,0.5599090848930353,0.48809169645242423,0.3803656137915076,163.0,10.5
dogs_175_to_200,0.08,200,0,0.0,,0.0,,,,,,,,
all,0.1,150,18,13.0,0.7222222222222222,5.171391663419849,0.28729953685665827,0.12362574424485569,0.20604290707475956,0.7652902138824366,0.6828730510525328,0.559247306807677,-75.55555555555556,10.5
favorites_only,0.1,150,13,10.0,0.7692307692307693,3.7313916634198496,0.287030127955373,0.11052559009531021,0.18420931682551703,0.7809723523534807,0.707288625623274,0.5967630355279637,-149.53846153846155,10.538461538461538
underdogs_only,0.1,150,5,3.0,0.6,1.44,0.288,0.15768614503367395,0.26281024172279005,0.7245166538577215,0.6193925571686053,0.46170641213493135,116.8,10.4
dogs_upto_150,0.1,150,5,3.0,0.6,1.44,0.288,0.15768614503367395,0.26281024172279005,0.7245166538577215,0.6193925571686053,0.46170641213493135,116.8,10.4
dogs_150_to_175,0.1,150,0,0.0,,0.0,,,,,,,,
dogs_175_to_200,0.1,150,0,0.0,,0.0,,,,,,,,
all,0.1,175,20,13.0,0.65,3.171391663419849,0.15856958317099246,0.1220357780864618,0.20339296347743638,0.7447521009834964,0.6633949155925218,0.54135913750606,-51.7,10.5
favorites_only,0.1,175,13,10.0,0.7692307692307693,3.7313916634198496,0.287030127955373,0.11052559009531021,0.18420931682551703,0.7809723523534807,0.707288625623274,0.5967630355279637,-149.53846153846155,10.538461538461538
underdogs_only,0.1,175,7,3.0,0.42857142857142855,-0.56,-0.08,0.1434118414986004,0.23901973583100083,0.677485919867811,0.5818780255354108,0.4384661840368103,130.0,10.428571428571429
dogs_upto_150,0.1,175,5,3.0,0.6,1.44,0.288,0.15768614503367395,0.26281024172279005,0.7245166538577215,0.6193925571686053,0.46170641213493135,116.8,10.4
dogs_150_to_175,0.1,175,2,0.0,0.0,-2.0,-1.0,0.1077260826609166,0.1795434711015277,0.5599090848930353,0.48809169645242423,0.3803656137915076,163.0,10.5
dogs_175_to_200,0.1,175,0,0.0,,0.0,,,,,,,,
all,0.1,200,20,13.0,0.65,3.171391663419849,0.15856958317099246,0.1220357780864618,0.20339296347743638,0.7447521009834964,0.6633949155925218,0.54135913750606,-51.7,10.5
favorites_only,0.1,200,13,10.0,0.7692307692307693,3.7313916634198496,0.287030127955373,0.11052559009531021,0.18420931682551703,0.7809723523534807,0.707288625623274,0.5967630355279637,-149.53846153846155,10.538461538461538
underdogs_only,0.1,200,7,3.0,0.42857142857142855,-0.56,-0.08,0.1434118414986004,0.23901973583100083,0.677485919867811,0.5818780255354108,0.4384661840368103,130.0,10.428571428571429
dogs_upto_150,0.1,200,5,3.0,0.6,1.44,0.288,0.15768614503367395,0.26281024172279005,0.7245166538577215,0.6193925571686053,0.46170641213493135,116.8,10.4
dogs_150_to_175,0.1,200,2,0.0,0.0,-2.0,-1.0,0.1077260826609166,0.1795434711015277,0.5599090848930353,0.48809169645242423,0.3803656137915076,163.0,10.5
dogs_175_to_200,0.1,200,0,0.0,,0.0,,,,,,,,
