season,shrink_factor,edge_threshold,bets,profit_units,roi,win_rate,avg_raw_model_prob,avg_model_prob,avg_implied_prob,avg_edge,avg_odds,max_possible_profit_if_all_won
all,0.85,0.03,47,9.228790797094376,0.19635725100200802,0.6595744680851063,0.6526336990973086,0.6297386442327123,0.5534168544015469,0.07632178983116565,-95.51063829787235,25.228790797094376
all,0.85,0.04,37,12.078310027863607,0.3264408115638813,0.7297297297297297,0.6582294832731854,0.6344950607822075,0.5471568420210438,0.08733821876116397,-84.4054054054054,22.07831002786361
all,0.85,0.05,31,7.513567042891214,0.24237313041584563,0.6774193548387096,0.6623167567773401,0.637969243260739,0.5430103017206731,0.09495894154006604,-75.14516129032258,17.513567042891214
all,0.85,0.06,28,5.118160031201742,0.1827914296857765,0.6428571428571429,0.6659364734037093,0.6410460023931529,0.5414596982571787,0.09958630413597432,-69.58928571428571,15.11816003120174
all,0.85,0.07,22,0.2800620688138613,0.012730094036993695,0.5454545454545454,0.673043578431789,0.6470870416670207,0.537802116568698,0.10928492509832251,-54.34090909090909,10.28006206881386
all,0.85,0.08,19,-0.5218859831341895,-0.02746768332285208,0.5263157894736842,0.6817354277393688,0.6544751135784634,0.5400160202462427,0.11445909333222073,-45.55263157894737,8.478114016865812
2024,0.85,0.03,23,13.090273295165858,0.5691423171811243,0.8695652173913043,0.6596694196369163,0.6357190066913789,0.5538057161555316,0.08191329053584716,-99.23913043478261,16.090273295165858
2024,0.85,0.04,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6375252491676968,0.5532870036487674,0.08423824551892961,-97.8409090909091,15.32104252593509
2024,0.85,0.05,17,8.470585255248412,0.4982697208969654,0.8235294117647058,0.6701709730103048,0.644645327058759,0.5496566830687333,0.09498864399002578,-88.17647058823529,11.470585255248412
2024,0.85,0.06,14,6.0751782435589385,0.43394130311135276,0.7857142857142857,0.6790934525986785,0.6522294347088767,0.5479797007163286,0.10424973399254799,-79.85714285714286,9.075178243558938
2024,0.85,0.07,11,3.6602954840472774,0.33275413491338884,0.7272727272727273,0.6896011907105849,0.6611610121039972,0.5461440682562005,0.11501694384779676,-67.54545454545455,6.6602954840472774
2024,0.85,0.08,10,2.7674383411901347,0.2767438341190135,0.7,0.6959751275011309,0.6665788583759612,0.5479282864025753,0.11865057197338595,-63.1,5.767438341190135
2025,0.85,0.03,24,-3.861482498071481,-0.16089510408631172,0.4583333333333333,0.6458911335801848,0.6240074635431571,0.5530441952206445,0.07096326832251254,-91.9375,9.138517501928519
2025,0.85,0.04,15,-0.24273249807148156,-0.01618216653809877,0.5333333333333333,0.6530009229217529,0.63005078448349,0.5381659383003822,0.09188484618310773,-64.7,6.757267501928519
2025,0.85,0.05,14,-0.9570182123571955,-0.06835844373979968,0.5,0.6527794942087403,0.6298625700774292,0.5349396957980285,0.09492287427940067,-59.32142857142857,6.0429817876428045
2025,0.85,0.06,14,-0.9570182123571955,-0.06835844373979968,0.5,0.6527794942087403,0.6298625700774292,0.5349396957980285,0.09492287427940067,-59.32142857142857,6.0429817876428045
2025,0.85,0.07,11,-3.3802334152334153,-0.30729394683940137,0.36363636363636365,0.6564859661529926,0.6330130712300437,0.5294601648811953,0.10355290634884828,-41.13636363636363,3.6197665847665847
2025,0.85,0.08,9,-3.2893243243243244,-0.3654804804804805,0.3333333333333333,0.6659135391151884,0.6410265082479101,0.531224613405873,0.10980189484203712,-26.055555555555557,2.7106756756756756
all,0.88,0.03,47,9.228790797094376,0.19635725100200802,0.6595744680851063,0.6526336990973086,0.6343176552056317,0.5534168544015469,0.08090080080408492,-95.51063829787235,25.228790797094376
all,0.88,0.04,43,7.878310027863606,0.1832165122758978,0.6511627906976745,0.6557450811484059,0.637055671410597,0.5519748782856166,0.08508079312498056,-92.09302325581395,22.878310027863606
all,0.88,0.05,37,12.078310027863607,0.3264408115638813,0.7297297297297297,0.6582294832731854,0.6392419452804031,0.5471568420210438,0.09208510325935955,-84.4054054054054,22.07831002786361
all,0.88,0.06,28,5.118160031201742,0.1827914296857765,0.6428571428571429,0.6659364734037093,0.6460240965952642,0.5414596982571787,0.1045643983380856,-69.58928571428571,15.11816003120174
all,0.88,0.07,25,2.5616114949921878,0.1024644597996875,0.6,0.671526165881652,0.6509430259758537,0.5416088827266479,0.10933414324920586,-63.82,12.561611494992189
all,0.88,0.08,21,1.2800620688138613,0.060955336610183875,0.5714285714285714,0.6761882504182046,0.6550456603680198,0.5386864664419327,0.11635919392608733,-51.785714285714285,10.28006206881386
2024,0.88,0.03,23,13.090273295165858,0.5691423171811243,0.8695652173913043,0.6596694196369163,0.6405090892804863,0.5538057161555316,0.08670337312495466,-99.23913043478261,16.090273295165858
2024,0.88,0.04,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6423790814912627,0.5532870036487674,0.08909207784249541,-97.8409090909091,15.32104252593509
2024,0.88,0.05,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6423790814912627,0.5532870036487674,0.08909207784249541,-97.8409090909091,15.32104252593509
2024,0.88,0.06,14,6.0751782435589385,0.43394130311135276,0.7857142857142857,0.6790934525986785,0.6576022382868372,0.5479797007163286,0.10962253757050835,-79.85714285714286,9.075178243558938
2024,0.88,0.07,13,5.275178243558938,0.40578294181222596,0.7692307692307693,0.6823950916762163,0.6605076806750703,0.5473969426517727,0.11311073802329746,-76.38461538461539,8.275178243558937
2024,0.88,0.08,11,3.6602954840472774,0.33275413491338884,0.7272727272727273,0.6896011907105849,0.6668490478253148,0.5461440682562005,0.12070497956911433,-67.54545454545455,6.6602954840472774
2025,0.88,0.03,24,-3.861482498071481,-0.16089510408631172,0.4583333333333333,0.6458911335801848,0.6283841975505626,0.5530441952206445,0.07534000232991808,-91.9375,9.138517501928519
2025,0.88,0.04,21,-4.442732498071481,-0.21155869038435626,0.42857142857142855,0.6494076881952326,0.6314787656118047,0.550600270762316,0.08087849484948884,-86.07142857142857,7.557267501928518
2025,0.88,0.05,15,-0.24273249807148156,-0.01618216653809877,0.5333333333333333,0.6530009229217529,0.6346408121711424,0.5381659383003822,0.09647487387076034,-64.7,6.757267501928519
2025,0.88,0.06,14,-0.9570182123571955,-0.06835844373979968,0.5,0.6527794942087403,0.6344459549036914,0.5349396957980285,0.0995062591056629,-59.32142857142857,6.0429817876428045
2025,0.88,0.07,12,-2.7135667485667483,-0.22613056238056237,0.4166666666666667,0.6597514962708739,0.6405813167183693,0.535338484474429,0.10524283224393993,-50.208333333333336,4.286433251433252
2025,0.88,0.08,10,-2.3802334152334153,-0.23802334152334154,0.4,0.661434016096586,0.6420619341649958,0.530483104446238,0.11157882971875761,-34.45,3.6197665847665847
all,0.9,0.03,47,9.228790797094376,0.19635725100200802,0.6595744680851063,0.6526336990973086,0.6373703291875779,0.5534168544015469,0.08395347478603109,-95.51063829787235,25.228790797094376
all,0.9,0.04,45,7.659560027863607,0.17021244506363573,0.6444444444444445,0.6546713417383837,0.6392042075645453,0.5531070935558399,0.08609711400870541,-94.08888888888889,23.659560027863606
all,0.9,0.05,37,12.078310027863607,0.3264408115638813,0.7297297297297297,0.6582294832731854,0.6424065349458667,0.5471568420210438,0.09524969292482326,-84.4054054054054,22.07831002786361
all,0.9,0.06,29,5.789300970799058,0.1996310679585882,0.6551724137931034,0.6663633105570369,0.6497269795013332,0.5434229353620066,0.10630404413932662,-72.32758620689656,15.789300970799056
all,0.9,0.07,25,2.5616114949921878,0.1024644597996875,0.6,0.671526165881652,0.6543735492934867,0.5416088827266479,0.11276466656683891,-63.82,12.561611494992189
all,0.9,0.08,21,1.2800620688138613,0.060955336610183875,0.5714285714285714,0.6761882504182046,0.6585694253763842,0.5386864664419327,0.11988295893445144,-51.785714285714285,10.28006206881386
2024,0.9,0.03,23,13.090273295165858,0.5691423171811243,0.8695652173913043,0.6596694196369163,0.6437024776732245,0.5538057161555316,0.08989676151769296,-99.23913043478261,16.090273295165858
2024,0.9,0.04,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6456149697069731,0.5532870036487674,0.09232796605820588,-97.8409090909091,15.32104252593509
2024,0.9,0.05,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6456149697069731,0.5532870036487674,0.09232796605820588,-97.8409090909091,15.32104252593509
2024,0.9,0.06,15,6.7463191831562535,0.4497546122104169,0.8,0.6790415391487803,0.6611373852339023,0.5513406256217194,0.10979675961218298,-84.46666666666667,9.746319183156253
2024,0.9,0.07,13,5.275178243558938,0.40578294181222596,0.7692307692307693,0.6823950916762163,0.6641555825085946,0.5473969426517727,0.11675863985682176,-76.38461538461539,8.275178243558937
2024,0.9,0.08,11,3.6602954840472774,0.33275413491338884,0.7272727272727273,0.6896011907105849,0.6706410716395266,0.5461440682562005,0.12449700338332605,-67.54545454545455,6.6602954840472774
2025,0.9,0.03,24,-3.861482498071481,-0.16089510408631172,0.4583333333333333,0.6458911335801848,0.6313020202221664,0.5530441952206445,0.07825782500152179,-91.9375,9.138517501928519
2025,0.9,0.04,23,-4.661482498071481,-0.2026731520900644,0.43478260869565216,0.6478579713454651,0.6330721742109187,0.5529350056408658,0.0801371685700528,-90.5,8.338517501928518
2025,0.9,0.05,15,-0.24273249807148156,-0.01618216653809877,0.5333333333333333,0.6530009229217529,0.6377008306295775,0.5381659383003822,0.09953489232919538,-64.7,6.757267501928519
2025,0.9,0.06,14,-0.9570182123571955,-0.06835844373979968,0.5,0.6527794942087403,0.6375015447878661,0.5349396957980285,0.10256184898983771,-59.32142857142857,6.0429817876428045
2025,0.9,0.07,12,-2.7135667485667483,-0.22613056238056237,0.4166666666666667,0.6597514962708739,0.6437763466437867,0.535338484474429,0.10843786216935745,-50.208333333333336,4.286433251433252
2025,0.9,0.08,10,-2.3802334152334153,-0.23802334152334154,0.4,0.661434016096586,0.6452906144869275,0.530483104446238,0.11480751004068937,-34.45,3.6197665847665847
all,0.92,0.03,50,9.767252335555915,0.1953450467111183,0.66,0.6500065712881299,0.6380060455850796,0.554381720224227,0.08362432536085254,-97.72,26.767252335555913
all,0.92,0.04,45,7.659560027863607,0.17021244506363573,0.6444444444444445,0.6546713417383837,0.642297634399313,0.5531070935558399,0.08919054084347312,-94.08888888888889,23.659560027863606
all,0.92,0.05,37,12.078310027863607,0.3264408115638813,0.7297297297297297,0.6582294832731854,0.6455711246113305,0.5471568420210438,0.098414282590287,-84.4054054054054,22.07831002786361
all,0.92,0.06,30,6.5035866850847714,0.21678622283615906,0.6666666666666666,0.6660212310352667,0.6527395325524452,0.5447532819610508,0.10798625059139454,-74.58333333333333,16.503586685084773
all,0.92,0.07,26,3.4090691221108322,0.13111804315810893,0.6153846153846154,0.6695943265540317,0.6560267804297091,0.54159640276292,0.11443037766678912,-65.90384615384616,13.409069122110832
all,0.92,0.08,22,1.9467287354805278,0.08848766979456944,0.5909090909090909,0.6770738902886303,0.6629079790655397,0.5414734452400267,0.12143453382551316,-56.25,10.946728735480526
2024,0.92,0.03,25,14.628734833627396,0.5851493933450959,0.88,0.655258592662201,0.6428379052492249,0.554718650167437,0.08811925508178789,-101.7,17.628734833627394
2024,0.92,0.04,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6488508579226838,0.5532870036487674,0.09556385427391642,-97.8409090909091,15.32104252593509
2024,0.92,0.05,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6488508579226838,0.5532870036487674,0.09556385427391642,-97.8409090909091,15.32104252593509
2024,0.92,0.06,15,6.7463191831562535,0.4497546122104169,0.8,0.6790415391487803,0.6647182160168781,0.5513406256217194,0.11337759039515859,-84.46666666666667,9.746319183156253
2024,0.92,0.07,13,5.275178243558938,0.40578294181222596,0.7692307692307693,0.6823950916762163,0.667803484342119,0.5473969426517727,0.12040654169034609,-76.38461538461539,8.275178243558937
2024,0.92,0.08,11,3.6602954840472774,0.33275413491338884,0.7272727272727273,0.6896011907105849,0.6744330954537383,0.5461440682562005,0.12828902719753774,-67.54545454545455,6.6602954840472774
2025,0.92,0.03,25,-4.8614824980714815,-0.19445929992285926,0.44,0.644754549914059,0.6331741859209344,0.554044790281017,0.07912939563991722,-93.74,9.138517501928519
2025,0.92,0.04,23,-4.661482498071481,-0.2026731520900644,0.43478260869565216,0.6478579713454651,0.636029333637828,0.5529350056408658,0.08309432799696209,-90.5,8.338517501928518
2025,0.92,0.05,15,-0.24273249807148156,-0.01618216653809877,0.5333333333333333,0.6530009229217529,0.6407608490880126,0.5381659383003822,0.10259491078763044,-64.7,6.757267501928519
2025,0.92,0.06,15,-0.24273249807148156,-0.01618216653809877,0.5333333333333333,0.6530009229217529,0.6407608490880126,0.5381659383003822,0.10259491078763044,-64.7,6.757267501928519
2025,0.92,0.07,13,-1.8661091214481047,-0.14354685549600804,0.46153846153846156,0.6567935614318472,0.6442500765172994,0.5357958628740673,0.10845421364323211,-55.42307692307692,5.133890878551895
2025,0.92,0.08,11,-1.7135667485667487,-0.15577879532424987,0.45454545454545453,0.6645465898666754,0.6513828626773415,0.5368028222238528,0.11458004045348856,-44.95454545454545,4.286433251433252
all,0.95,0.03,51,10.45218384240523,0.20494478122363197,0.6666666666666666,0.6496167093530157,0.642135873885365,0.5551486656111903,0.08698720827417476,-98.66666666666667,27.452183842405226
all,0.95,0.04,47,9.228790797094376,0.19635725100200802,0.6595744680851063,0.6526336990973086,0.6450020141424433,0.5534168544015469,0.09158515974089652,-95.51063829787235,25.228790797094376
all,0.95,0.05,42,7.078310027863607,0.16853119113960968,0.6428571428571429,0.6568082510078044,0.6489678384574141,0.5518896240649038,0.09707821439251031,-91.30952380952381,22.078310027863605
all,0.95,0.06,36,11.22360917316275,0.31176692147674306,0.7222222222222222,0.6598065427880576,0.6518162156486548,0.5473786846629493,0.10443753098570557,-83.5,21.223609173162753
all,0.95,0.07,29,5.789300970799058,0.1996310679585882,0.6551724137931034,0.6663633105570369,0.658045145029185,0.5434229353620066,0.1146222096671785,-72.32758620689656,15.789300970799056
all,0.95,0.08,24,1.6766557427797988,0.06986065594915829,0.5833333333333334,0.6738579614429274,0.6651650633707811,0.5420710681767215,0.12309399519405963,-61.770833333333336,11.6766557427798
2024,0.95,0.03,25,14.628734833627396,0.5851493933450959,0.88,0.655258592662201,0.6474956630290909,0.554718650167437,0.09277701286165387,-101.7,17.628734833627394
2024,0.95,0.04,23,13.090273295165858,0.5691423171811243,0.8695652173913043,0.6596694196369163,0.6516859486550705,0.5538057161555316,0.0978802324995388,-99.23913043478261,16.090273295165858
2024,0.95,0.05,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6537046902462494,0.5532870036487674,0.1004176865974822,-97.8409090909091,15.32104252593509
2024,0.95,0.06,21,11.466341671234234,0.5460162700587731,0.8571428571428571,0.6646676998354182,0.6564343148436472,0.5539592177790684,0.10247509706457884,-96.92857142857143,14.466341671234234
2024,0.95,0.07,15,6.7463191831562535,0.4497546122104169,0.8,0.6790415391487803,0.6700894621913414,0.5513406256217194,0.118748836569622,-84.46666666666667,9.746319183156253
2024,0.95,0.08,12,4.390222491346548,0.365851874278879,0.75,0.6879644266149807,0.6785662052842317,0.5488036518790136,0.12976255340521808,-73.33333333333333,7.390222491346548
2025,0.95,0.03,26,-4.176550991222166,-0.16063657658546793,0.46153846153846156,0.6441918215557224,0.6369822304779362,0.5555621419994146,0.08142008847852175,-95.75,9.823449008777835
2025,0.95,0.04,24,-3.861482498071481,-0.16089510408631172,0.4583333333333333,0.6458911335801848,0.6385965769011755,0.5530441952206445,0.08555238168053103,-91.9375,9.138517501928519
2025,0.95,0.05,20,-5.242732498071481,-0.26213662490357403,0.4,0.6513234752523107,0.6437573014896951,0.550352506522654,0.09340479496704124,-84.125,6.757267501928519
2025,0.95,0.06,15,-0.24273249807148156,-0.01618216653809877,0.5333333333333333,0.6530009229217529,0.6453508767756653,0.5381659383003822,0.10718493847528304,-64.7,6.757267501928519
2025,0.95,0.07,14,-0.9570182123571955,-0.06835844373979968,0.5,0.6527794942087403,0.6451405194983033,0.5349396957980285,0.11020082370027473,-59.32142857142857,6.0429817876428045
2025,0.95,0.08,12,-2.7135667485667483,-0.22613056238056237,0.4166666666666667,0.6597514962708739,0.6517639214573303,0.535338484474429,0.11642543698290116,-50.208333333333336,4.286433251433252
all,1.0,0.03,53,10.118850509071896,0.19092170771833766,0.660377358490566,0.6487688373958849,0.6487688373958849,0.5566871449219732,0.09208169247391171,-100.50943396226415,28.118850509071898
all,1.0,0.04,47,9.228790797094376,0.19635725100200802,0.6595744680851063,0.6526336990973086,0.6526336990973086,0.5534168544015469,0.09921684469576196,-95.51063829787235,25.228790797094376
all,1.0,0.05,45,7.659560027863607,0.17021244506363573,0.6444444444444445,0.6546713417383837,0.6546713417383837,0.5531070935558399,0.1015642481825438,-94.08888888888889,23.659560027863606
all,1.0,0.06,40,9.078310027863607,0.22695775069659016,0.675,0.6583684355482683,0.6583684355482683,0.5510394337081751,0.10732900184009324,-89.275,22.078310027863605
all,1.0,0.07,31,7.183858793928307,0.23173738044930023,0.6774193548387096,0.6660764160462459,0.6660764160462459,0.5463787148140768,0.11969770123216912,-76.91935483870968,17.18385879392831
all,1.0,0.08,27,4.209069122110833,0.15589144896706789,0.6296296296296297,0.6683564679627968,0.6683564679627968,0.5421134084219066,0.12624305954089018,-68.0925925925926,14.209069122110831
2024,1.0,0.03,26,15.295401500294062,0.5882846730882332,0.8846153846153846,0.6543214722254024,0.6543214722254024,0.5564602405456125,0.09786123167978983,-103.5576923076923,18.295401500294066
2024,1.0,0.04,23,13.090273295165858,0.5691423171811243,0.8695652173913043,0.6596694196369163,0.6596694196369163,0.5538057161555316,0.10586370348138462,-99.23913043478261,16.090273295165858
2024,1.0,0.05,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6617944107855257,0.5532870036487674,0.1085074071367585,-97.8409090909091,15.32104252593509
2024,1.0,0.06,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6617944107855257,0.5532870036487674,0.1085074071367585,-97.8409090909091,15.32104252593509
2024,1.0,0.07,16,7.426591291999791,0.4641619557499869,0.8125,0.6783346908504582,0.6783346908504582,0.5540781927956655,0.12425649805479262,-88.375,10.426591291999792
2024,1.0,0.08,14,6.0751782435589385,0.43394130311135276,0.7857142857142857,0.6790934525986785,0.6790934525986785,0.5479797007163286,0.13111375188234975,-79.85714285714286,9.075178243558938
2025,1.0,0.03,27,-5.176550991222166,-0.19172411078600615,0.4444444444444444,0.6434218557082014,0.6434218557082014,0.5569056454325428,0.08651621027565876,-97.57407407407408,9.823449008777834
2025,1.0,0.04,24,-3.861482498071481,-0.16089510408631172,0.4583333333333333,0.6458911335801848,0.6458911335801848,0.5530441952206445,0.09284693835954026,-91.9375,9.138517501928519
2025,1.0,0.05,23,-4.661482498071481,-0.2026731520900644,0.43478260869565216,0.6478579713454651,0.6478579713454651,0.5529350056408658,0.09492296570459934,-90.5,8.338517501928518
2025,1.0,0.06,18,-3.242732498071481,-0.1801518054484156,0.4444444444444444,0.6541811324805091,0.6541811324805091,0.5482924037807844,0.10588872869972464,-78.80555555555556,6.757267501928519
2025,1.0,0.07,15,-0.24273249807148156,-0.01618216653809877,0.5333333333333333,0.6530009229217529,0.6530009229217529,0.5381659383003822,0.11483498462137068,-64.7,6.757267501928519
2025,1.0,0.08,13,-1.8661091214481047,-0.14354685549600804,0.46153846153846156,0.6567935614318472,0.6567935614318472,0.5357958628740673,0.12099769855777988,-55.42307692307692,5.133890878551895
